location,HighestInfectionCount,PercentPopulationInfected.1
Cambodia,13402,157800
Eritrea,3671,125200
Czechia,1630758,123600
Bhutan,1074,107400
Central African Republic,6411,96200
Austria,618870,86000
Burundi,3995,85433
Denmark,251249,83600
Finland,86808,79200
Bahrain,176934,70116
Chile,1198245,68700
Botswana,46934,68600
Estonia,122019,64500
Djibouti,11100,56000
Croatia,332183,44200
Armenia,216064,40700
Brazil,14659011,32100
Equatorial Guinea,7694,31500
Australia,29811,29550
Costa Rica,250991,26326
Canada,1228367,25200
Cote D'Ivoire,46036,24500
Cyprus,65233,22210
Belgium,990229,22150
Cuba,106707,18890
Andorra,13232,18800
Belarus,358738,18297
Benin,7821,16950
Cape Verde,23882,16300
Eswatini,18458,16200
Barbados,3855,15642
Belize,12668,15066
Brunei,224,14100
Bosnia And Herzegovina,198461,13600
Ethiopia,257442,13287
Colombia,2859724,12600
Azerbaijan,319109,10420
Comoros,3834,10214
Bulgaria,404380,9766
Burkina Faso,13310,9302
Africa,4557699,9100
Dominican Republic,266561,8166
Bolivia,303732,8100
Bangladesh,759132,7995
Asia,39526308,7597
Argentina,2977363,7525
Cameroon,72250,7500
Egypt,227552,7500
Congo,10678,7415
Bahamas,10453,7364
Ecuador,381862,7340
France,194815,7200
Europe,44863478,6280
Afghanistan,59745,6061
Albania,131085,6032
European Union,30771214,5866
Fiji,117,5850
El Salvador,69198,5688
Antigua And Barbuda,1232,5492
China,102494,4873
Democratic Republic Of Congo,29853,4732
Angola,26652,4471
Algeria,122108,3799
Chad,4817,2983
Dominica,174,0
