location,date,HighestInfectionCount,PercentPopulationInfected
Cambodia,3/18/2021,1578,157800
Cambodia,3/17/2021,1541,154100
Cambodia,3/16/2021,1505,150500
Cambodia,3/14/2021,1325,132500
Cambodia,3/15/2021,1325,132500
Cambodia,3/13/2021,1305,130500
Cambodia,3/12/2021,1264,126400
Eritrea,12/30/2020,1252,125200
Czechia,3/23/2020,1236,123600
Cambodia,3/11/2021,1225,122500
Eritrea,12/29/2020,1220,122000
Czechia,3/22/2020,1120,112000
Bhutan,4/30/2021,1074,107400
Bhutan,4/29/2021,1066,106600
Bhutan,4/28/2021,1059,105900
Bhutan,4/27/2021,1053,105300
Eritrea,12/28/2020,1039,103900
Eritrea,12/27/2020,1039,103900
Bhutan,4/26/2021,1026,102600
Bhutan,4/25/2021,1022,102200
Bhutan,4/24/2021,1018,101800
Bhutan,4/23/2021,1008,100800
Bhutan,4/22/2021,992,99200
Eritrea,12/26/2020,992,99200
Eritrea,12/25/2020,992,99200
Bhutan,4/21/2021,986,98600
Bhutan,4/20/2021,966,96600
Central African Republic,5/30/2020,962,96200
Bhutan,4/19/2021,961,96100
Bhutan,4/18/2021,957,95700
Bhutan,4/17/2021,952,95200
Eritrea,12/24/2020,951,95100
Bhutan,4/16/2021,941,94100
Bhutan,4/15/2021,934,93400
Bhutan,4/14/2021,929,92900
Bhutan,4/13/2021,927,92700
Bhutan,4/12/2021,921,92100
Bhutan,4/11/2021,918,91800
Bhutan,4/10/2021,910,91000
Bhutan,4/9/2021,906,90600
Bhutan,4/8/2021,900,90000
Bhutan,4/7/2021,900,90000
Bhutan,4/6/2021,896,89600
Bhutan,4/5/2021,891,89100
Bhutan,4/4/2021,891,89100
Bhutan,4/3/2021,891,89100
Bhutan,4/2/2021,889,88900
Bhutan,4/1/2021,886,88600
Eritrea,12/23/2020,877,87700
Central African Republic,5/29/2020,874,87400
Bhutan,3/31/2021,873,87300
Bhutan,3/30/2021,872,87200
Bhutan,3/29/2021,872,87200
Bhutan,3/28/2021,872,87200
Bhutan,3/27/2021,871,87100
Bhutan,3/26/2021,870,87000
Bhutan,3/25/2021,870,87000
Bhutan,3/24/2021,870,87000
Bhutan,3/23/2021,869,86900
Bhutan,3/22/2021,869,86900
Bhutan,3/21/2021,869,86900
Bhutan,3/20/2021,869,86900
Bhutan,3/19/2021,868,86800
Bhutan,3/18/2021,868,86800
Bhutan,3/17/2021,868,86800
Bhutan,3/16/2021,868,86800
Bhutan,3/15/2021,868,86800
Bhutan,3/14/2021,868,86800
Bhutan,3/13/2021,868,86800
Bhutan,3/12/2021,868,86800
Bhutan,3/11/2021,868,86800
Bhutan,3/10/2021,868,86800
Bhutan,3/9/2021,868,86800
Bhutan,3/8/2021,868,86800
Bhutan,3/7/2021,868,86800
Bhutan,3/6/2021,868,86800
Bhutan,3/5/2021,867,86700
Bhutan,3/4/2021,867,86700
Bhutan,3/3/2021,867,86700
Bhutan,3/2/2021,867,86700
Bhutan,3/1/2021,867,86700
Bhutan,2/28/2021,867,86700
Bhutan,2/27/2021,867,86700
Bhutan,2/26/2021,867,86700
Bhutan,2/25/2021,867,86700
Bhutan,2/24/2021,867,86700
Bhutan,2/23/2021,867,86700
Bhutan,2/22/2021,866,86600
Bhutan,2/21/2021,866,86600
Bhutan,2/20/2021,866,86600
Bhutan,2/19/2021,866,86600
Bhutan,2/18/2021,866,86600
Bhutan,2/17/2021,866,86600
Bhutan,2/16/2021,866,86600
Bhutan,2/15/2021,866,86600
Bhutan,2/14/2021,864,86400
Bhutan,2/13/2021,863,86300
Bhutan,2/12/2021,863,86300
Bhutan,2/11/2021,861,86100
Bhutan,2/10/2021,861,86100
Bhutan,2/9/2021,861,86100
Bhutan,2/8/2021,861,86100
Bhutan,2/7/2021,861,86100
Bhutan,2/6/2021,861,86100
Bhutan,2/5/2021,861,86100
Austria,3/15/2020,860,86000
Bhutan,2/4/2021,859,85900
Bhutan,2/3/2021,859,85900
Bhutan,2/2/2021,859,85900
Bhutan,2/1/2021,859,85900
Bhutan,1/31/2021,859,85900
Bhutan,1/30/2021,858,85800
Bhutan,1/29/2021,858,85800
Bhutan,1/28/2021,857,85700
Bhutan,1/27/2021,856,85600
Bhutan,1/25/2021,856,85600
Bhutan,1/26/2021,856,85600
Bhutan,1/24/2021,855,85500
Burundi,3/20/2021,2563,85433.33333333334
Burundi,3/19/2021,2563,85433.33333333334
Bhutan,1/23/2021,854,85400
Bhutan,1/22/2021,851,85100
Bhutan,1/21/2021,850,85000
Bhutan,1/20/2021,850,85000
Bhutan,1/19/2021,848,84800
Burundi,3/18/2021,2542,84733.33333333334
Burundi,2/4/2021,1686,84300
Bhutan,1/18/2021,843,84300
Bhutan,1/17/2021,842,84200
Bhutan,1/16/2021,842,84200
Bhutan,1/15/2021,837,83700
Denmark,3/14/2020,836,83600
Bhutan,1/14/2021,834,83400
Bhutan,1/13/2021,833,83300
Burundi,2/3/2021,1664,83200
Eritrea,12/22/2020,832,83200
Bhutan,1/12/2021,831,83100
Bhutan,1/11/2021,825,82500
Burundi,2/2/2021,1641,82050
Burundi,3/17/2021,2461,82033.33333333334
Burundi,3/16/2021,2461,82033.33333333334
Burundi,3/15/2021,2461,82033.33333333334
Burundi,3/14/2021,2461,82033.33333333334
Burundi,2/1/2021,1635,81750
Burundi,1/31/2021,1632,81600
Burundi,3/13/2021,2441,81366.66666666666
Bhutan,1/10/2021,813,81300
Bhutan,1/9/2021,810,81000
Burundi,3/12/2021,2420,80666.66666666666
Burundi,1/30/2021,1613,80650
Burundi,1/29/2021,1604,80200
Burundi,3/11/2021,2396,79866.66666666666
Burundi,1/28/2021,1584,79200
Finland,3/24/2020,792,79200
Burundi,3/10/2021,2369,78966.66666666666
Cambodia,3/19/2021,1578,78900
Cambodia,3/20/2021,1578,78900
Burundi,3/9/2021,2339,77966.66666666666
Burundi,3/8/2021,2334,77800
Burundi,3/7/2021,2319,77300
Bhutan,1/8/2021,771,77100
Burundi,1/27/2021,1542,77100
Burundi,3/6/2021,2299,76633.33333333334
Burundi,3/5/2021,2283,76100
Burundi,3/4/2021,2268,75600
Central African Republic,5/28/2020,755,75500
Burundi,12/18/2020,751,75100
Burundi,12/17/2020,751,75100
Burundi,3/3/2021,2240,74666.66666666666
Burundi,3/2/2021,2224,74133.33333333334
Burundi,12/16/2020,741,74100
Burundi,1/26/2021,1481,74050
Burundi,1/25/2021,1479,73950
Burundi,3/1/2021,2217,73900
Burundi,2/28/2021,2209,73633.33333333334
Burundi,1/24/2021,1472,73600
Burundi,12/15/2020,735,73500
Burundi,12/14/2020,729,72900
Burundi,12/13/2020,729,72900
Burundi,12/12/2020,728,72800
Burundi,2/27/2021,2181,72700
Burundi,12/11/2020,723,72300
Burundi,12/10/2020,720,72000
Burundi,12/9/2020,720,72000
Burundi,1/23/2021,1438,71900
Burundi,12/8/2020,716,71600
Burundi,2/26/2021,2143,71433.33333333334
Burundi,2/25/2021,2106,70200
Central African Republic,5/27/2020,702,70200
Bahrain,5/22/2020,8414,70116.66666666666
Finland,3/23/2020,700,70000
Burundi,12/7/2020,698,69800
Bahrain,5/29/2020,10449,69660
Burundi,12/6/2020,694,69400
Burundi,12/5/2020,694,69400
